,first_purchase,shelf_price,pct_disc,pct_retail_disc,pct_coupon_disc,display_1,display_2,display_3,display_4,display_5,display_6,display_7,display_9,display_A,mailer_A,mailer_C,mailer_D,mailer_H,mailer_J,marital_status_A,marital_status_B,homeowner_Homeowner,homeowner_Probable Owner,homeowner_Probable Renter,homeowner_Renter,hhcomp_1 Adult Kids,hhcomp_2 Adults Kids,hhcomp_2 Adults No Kids,hhcomp_Single Female,hhcomp_Single Male,kid_category_1,kid_category_2,kid_category_3+,kid_category_None/Unknown,age_ordinal,income_ordinal,hhsize_ordinal,campaign_6.0,campaign_8.0,campaign_13.0,campaign_18.0,campaign_29.0,campaign_30.0,description_TypeA,description_TypeB,description_TypeC
91,True,5.79,0.3126079447322971,0.3126079447322971,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,1,0,0,0,0,1,0,0
92,True,2.29,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2.0,29.5,3.0,0,0,0,0,0,0,0,0,0
96,True,2.79,0.1039426523297491,0.1039426523297491,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,1,0,0,0,0,1,0,0
97,True,0.79,0.2405063291139241,0.240506329113924,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2.0,87.0,4.0,0,1,0,0,0,0,1,0,0
128,True,0.5,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,62.0,1.0,0,0,0,0,0,0,0,0,0
129,True,0.5,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,62.0,1.0,0,0,0,0,0,0,0,0,0
130,True,0.5,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,62.0,1.0,0,0,0,0,0,0,0,0,0
131,True,0.5,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,62.0,1.0,0,0,0,0,0,0,0,0,0
132,True,0.5,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,62.0,1.0,0,0,0,0,0,0,0,0,0
133,True,0.5,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,4.0,62.0,1.0,0,0,0,0,0,0,0,0,0
