,first_purchase,shelf_price,pct_disc,pct_retail_disc,pct_coupon_disc,display_1,display_2,display_3,display_4,display_5,display_6,display_7,display_9,display_A,mailer_A,mailer_C,mailer_F,mailer_H,mailer_L,marital_status_A,marital_status_B,homeowner_Homeowner,homeowner_Probable Owner,homeowner_Probable Renter,homeowner_Renter,hhcomp_1 Adult Kids,hhcomp_2 Adults Kids,hhcomp_2 Adults No Kids,hhcomp_Single Female,hhcomp_Single Male,kid_category_1,kid_category_2,kid_category_3+,kid_category_None/Unknown,age_ordinal,income_ordinal,hhsize_ordinal,campaign_8.0,campaign_13.0,campaign_15.0,campaign_18.0,campaign_24.0,campaign_26.0,campaign_30.0,description_TypeA,description_TypeB,description_TypeC
78,True,18.49,0.1892915089237426,0.1892915089237425,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,112.0,2.0,0,0,0,0,0,0,0,0,0,0
79,False,10.69,0.3461178671655753,0.3461178671655753,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,112.0,2.0,0,0,0,0,0,0,0,0,0,0
80,False,10.69,0.4770813844714686,0.4770813844714686,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,112.0,2.0,0,0,0,0,0,0,0,0,0,0
81,False,11.99,0.1668056713928273,0.1668056713928273,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,112.0,2.0,0,0,0,0,0,0,0,0,0,0
82,True,3.49,0.2292263610315187,0.2292263610315186,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,4.0,112.0,2.0,0,0,0,0,0,0,0,0,0,0
83,True,4.49,0.267260579064588,0.2672605790645879,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3.0,19.5,1.0,0,0,0,0,0,0,0,0,0,0
84,True,1.29,0.2248062015503876,0.2248062015503875,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
85,True,1.49,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
86,True,0.89,0.4382022471910112,0.4382022471910112,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
87,False,12.99,0.1539645881447267,0.0769822940723633,0.0769822940723633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
88,False,12.99,0.0769822940723633,0.0769822940723633,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
89,False,12.99,0.1539645881447267,0.0769822940723633,0.0769822940723633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
90,False,12.99,0.0769822940723633,0.0769822940723633,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
91,False,12.99,0.0769822940723633,0.0769822940723633,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,1,0,0,0,0,0,0,1,0,0
92,False,12.99,0.1539645881447267,0.1539645881447267,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
93,False,12.99,0.1539645881447267,0.1539645881447267,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
94,False,12.99,0.1539645881447267,0.1539645881447267,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,1,0,0,0,0,0,1,0,0
95,False,12.99,0.1539645881447267,0.1539645881447267,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,1,0,0,0,0,0,1,0,0
96,False,12.99,0.3849114703618168,0.3849114703618168,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
97,False,13.99,0.2144388849177984,0.2144388849177984,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
98,False,13.99,0.5003573981415297,0.4288777698355968,0.0714796283059328,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
99,True,1.19,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
100,False,1.19,0.1596638655462184,0.1596638655462184,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
101,False,1.19,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
102,False,1.19,0.1596638655462184,0.1596638655462185,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
103,False,1.19,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
104,True,3.99,0.2506265664160401,0.2506265664160401,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
105,True,3.49,0.1432664756446991,0.1432664756446991,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
106,True,8.989999999999998,0.0778642936596217,0.0778642936596218,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
107,True,13.99,0.2859185132237312,0.2859185132237312,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
108,False,13.99,0.2859185132237312,0.2859185132237312,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
109,True,19.99,0.0700350175087543,0.0700350175087543,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
110,False,19.99,0.0700350175087543,0.0700350175087543,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2.0,87.0,2.0,0,0,0,0,0,0,0,0,0,0
116,True,1.29,0.0775193798449613,0.0775193798449612,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.0,29.5,1.0,0,0,0,0,0,0,0,0,0,0
117,True,4.99,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.0,29.5,1.0,0,0,0,0,0,0,0,0,0,0
118,True,1.99,0.7487437185929648,0.2462311557788944,0.5025125628140703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.0,29.5,1.0,0,0,0,0,0,0,0,0,0,0
119,True,1.99,0.7487437185929648,0.2462311557788944,0.5025125628140703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.0,29.5,1.0,0,0,0,0,0,0,0,0,0,0
125,True,3.59,0.5821727019498607,0.3036211699164345,0.2785515320334262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
126,False,3.59,0.5821727019498607,0.4428969359331476,0.1392757660167131,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
127,False,3.59,0.5821727019498607,0.4428969359331476,0.1392757660167131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
128,False,3.59,0.5821727019498607,0.4428969359331476,0.1392757660167131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
129,True,3.59,0.5821727019498607,0.4428969359331476,0.1392757660167131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
130,True,1.89,0.2063492063492064,0.2063492063492063,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
131,True,5.49,0.1821493624772313,-0.0,0.1821493624772313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
132,True,3.39,0.4129793510324483,0.1179941002949852,0.2949852507374631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
133,False,2.69,0.1858736059479554,0.1858736059479554,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
134,True,14.29,0.0699790062981105,-0.0,0.0699790062981105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
135,True,1.89,0.2063492063492064,0.2063492063492063,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
136,True,3.59,0.3036211699164345,0.3036211699164345,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
137,True,7.29,0.0,-0.0,-0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
138,True,3.59,0.5821727019498607,0.4428969359331476,0.1392757660167131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,0,0,0,0,0,0
139,False,3.79,0.7361477572559367,0.4722955145118733,0.2638522427440633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,3.0,39.5,2.0,0,0,0,0,1,0,0,0,1,0
